Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
0.174,0.0,0.174
0.174,0.0,0.174
0.129,0.0,0.129
0.129,0.0,0.129
0.129,0.0,0.129
0.129,0.0,0.129
0.129,0.0,0.129
0.129,0.0,0.129
0.129,0.0,0.129
0.129,0.0,0.129
0.075,0.0,0.075
0.122,0.0,0.122
0.122,0.0,0.122
0.075,0.0,0.075
0.139,0.0,0.139
0.075,0.0,0.075
0.13,0.0,0.13
0.13,0.0,0.13
0.13,0.0,0.13
0.105,0.0,0.105
0.213,0.0,0.213
0.033,0.0,0.033
0.033,0.0,0.033
0.033,0.0,0.033
0.033,0.0,0.033
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.118,0.0,0.118
0.103,0.0,0.103
0.103,0.0,0.103
0.103,0.0,0.103
0.103,0.0,0.103
0.08,0.0,0.08
0.08,0.0,0.08
0.08,0.0,0.08
0.08,0.0,0.08
0.08,0.0,0.08
0.167,0.0,0.167
0.167,0.0,0.167
0.167,0.0,0.167
0.167,0.0,0.167
0.167,0.0,0.167
0.121,0.0,0.121
0.121,0.0,0.121
0.121,0.0,0.121
0.197,0.0,0.197
1.777,0.0,1.777
0.632,0.0,0.632
1.777,0.0,1.777
10.989,0.0,10.989
2.166,0.0,2.166
0.632,0.0,0.632
0.163,0.0,0.163
0.158,0.0,0.158
0.632,0.0,0.632
0.632,0.0,0.632
0.137,0.0,0.137
0.168,0.0,0.168
0.168,0.0,0.168
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.086,0.0,0.086
0.086,0.0,0.086
0.09,0.0,0.09
0.12,0.0,0.12
0.12,0.0,0.12
0.12,0.0,0.12
0.12,0.0,0.12
0.12,0.0,0.12
0.12,0.0,0.12
0.116,0.0,0.116
0.116,0.0,0.116
0.116,0.0,0.116
0.116,0.0,0.116
0.116,0.0,0.116
0.116,0.0,0.116
0.127,0.0,0.127
0.127,0.0,0.127
0.112,0.0,0.112
0.181,0.0,0.181
0.181,0.0,0.181
0.181,0.0,0.181
0.157,0.0,0.157
0.157,0.0,0.157
0.157,0.0,0.157
0.157,0.0,0.157
0.163,0.0,0.163
0.163,0.0,0.163
0.157,0.0,0.157
0.157,0.0,0.157
0.163,0.0,0.163
0.145,0.0,0.145
0.145,0.0,0.145
0.145,0.0,0.145
0.248,0.0,0.248
0.248,0.0,0.248
0.248,0.0,0.248
0.248,0.0,0.248
0.248,0.0,0.248
0.166,0.0,0.166
0.084,0.0,0.084
0.084,0.0,0.084
0.084,0.0,0.084
0.084,0.0,0.084
0.072,0.0,0.072
0.072,0.0,0.072
0.072,0.0,0.072
